"","OFT","PedCount","IfSideWalk","IfBikeLane","PopDen","JobDen","IntNum","TraStpNum","AADT","PerCommercial","PerOffice","PerIndustrial","PerOpenspace","Entropy","IfDowntown","PerChild","PerOld","PerMale","PerWhite","PerBlack","PerHisp","PerPoverty","AvgHHSize","AvgVeh","IfMain","IfSecondary","StrtLitNum","IfEst"
"1","3120DEDW0243",0,0,0,0,10.9643662767392,5,0,2697,0,0,0.765705783858157,0,0.271910469305302,0,0.358008934269304,0.013401403956605,0.409061901723038,0.335673261008296,0.550095724313976,0.00574345883854499,0.000536056158264199,3.52,1.30786516853933,0,0,0,1
"2","16111522DEDN",0,0,0,0.775753482085641,0.0337284122645931,12,0,2697,0,0,0,0.511313368690397,0.34662996585766,0,0,0.0959629384513567,0.393117140966248,0.842488418266049,0.0469887491727333,0.028457974851092,9.53011250827267e-05,1.52,1.39719157472417,0,0,0,1
"3","2617DEDS3328",0,0,0,0,0,32,0,2697,0,0,0.643576908505211,0,0.325644347414588,0,0.0834862385321101,0.055045871559633,0.463302752293578,0.61651376146789,0.175229357798165,0.104587155963303,0.000447706422018349,2.55,1.76705882352941,0,0,0,1
"4","037111083204",0,1,0,17.615271170775,0,31,0,7000,0,0,0,0,0.00130382283689518,0,0.143638850889193,0.127222982216142,0.500683994528044,0.875512995896033,0,0.0478796169630643,0.000369357045143639,2.09,1.50143266475645,0,1,0,1
"5","2314DEDS0371",0,0,0,7.751425041992,1.81416330770026,24,0,2697,0.604234631205584,0,0,0,0.335675223378757,0,0.133034379671151,0.0852017937219731,0.597907324364723,0.910313901345291,0.0284005979073244,0.038863976083707,0.000245142002989537,2.19,1.95098039215686,0,0,0,1
"6","35WNR12AX12B",0,0,0,2.2103645830965,0,20,0,2697,0,0,0,0,0.00130391141178682,0,0.194351042367182,0.202420981842636,0.484868863483524,0.881640887693342,0.106254203093477,0,4.70746469401479e-05,2.54,1.75042735042735,0,0,0,1
"7","283128322829",0,0,0,2.45482142656046,11.4177740770254,16,0,2697,0,0.0428975649952602,0.349586255476202,0.251604141591938,0.304330993643981,0,0.271375464684015,0.0315985130111524,0.513011152416357,0.237918215613383,0.239776951672862,0.0130111524163569,0.0011635687732342,2.32,1.1057268722467,0,0,0,1
"8","053021052002",0,1,0,11.1049298383935,0,20,0,3700,0,0,0,0,0.00130376041516367,0,0.29862792574657,0.0912025827280064,0.426150121065375,0.421307506053269,0.233252623083132,0.0290556900726392,0.000380145278450363,3.33,1.75537634408602,0,1,0,1
"9","053020021903",0,1,0,11.8780572647502,0,20,0,3700,0,0,0,0,0.00130391233368031,0,0.29862792574657,0.0912025827280064,0.426150121065375,0.421307506053269,0.233252623083132,0.0290556900726392,0.000380145278450363,3.33,1.75537634408602,0,1,0,1
"10","053022212105",0,1,0,7.52674643234055,0,22,0,3700,0,0,0,0,0.00130389303749633,0,0.29862792574657,0.0912025827280064,0.426150121065375,0.421307506053269,0.233252623083132,0.0290556900726392,0.000380145278450363,3.33,1.75537634408602,0,1,0,1
"11","053019031822",0,1,0,11.0687402221959,0.804999288886973,21,0,3700,0,0,0,0,0.00130373573066744,0,0.223275862068966,0.105172413793103,0.550862068965517,0.593103448275862,0.193103448275862,0.0146551724137931,0.000179310344827586,2.64,1.62557077625571,0,1,0,1
"12","053018221703",0,1,0,10.0836142617379,0,21,0,3650,0,0,0,0,0.0013037830555987,0,0.223275862068966,0.105172413793103,0.550862068965517,0.593103448275862,0.193103448275862,0.0146551724137931,0.000179310344827586,2.64,1.62557077625571,0,1,0,1
"13","053017031617",0,1,0,6.91670403249756,0,22,0,3650,0,0,0,0,0.00130381175191997,0,0.223275862068966,0.105172413793103,0.550862068965517,0.593103448275862,0.193103448275862,0.0146551724137931,0.000179310344827586,2.64,1.62557077625571,0,1,0,1
"14","292019091909",0,0,0,0,12.5983847237608,7,2,1400,0,0,0.998695242715471,0,0.00130390571829996,0,0.0544105523495466,0.0140148392415499,0.588623248145095,0.856553998351195,0.0544105523495466,0.0206100577081616,0.00051277823577906,2.77,1.81506849315068,0,1,0,1
"15","2306DEDS2109",0,0,0,0,0,4,0,2697,0,0,0,0,0.00130374976888205,0,0.0931989924433249,0.0972292191435768,0.550125944584383,0.793954659949622,0.0110831234256927,0.0206549118387909,0.000161209068010076,2.32,1.34992887624467,0,0,0,1
"16","150119091909",0,0,0,0,14.5454530296459,12,0,8963,0.00339001209129725,0.158835692241263,0.836469726906589,0,0.15362743821057,0,0.136363636363636,0,0.544155844155844,0.228571428571429,0.0831168831168831,0.0350649350649351,0.000615584415584416,2.43,1.13249211356467,0,1,0,1
"17","0289BDRY1611",0,0,0,11.0938730221342,0.720381365073647,32,1,5671,0,0,0,0,0.00130374771528451,0,0.196428571428571,0.116071428571429,0.391369047619048,0.845982142857143,0.0870535714285714,0.0230654761904762,9.07738095238095e-05,2.15,1.53451043338684,0,1,0,1
"18","0544M55SM55N",0,1,0,0.664895522689253,0.0699890023883424,6,0,5700,0,0.058649297798192,0,0.239316856125157,0.252586049286636,0,0.261168384879725,0.0790378006872852,0.77319587628866,0.353951890034364,0.0996563573883162,0.47766323024055,0.00281099656357388,1.75,0.528301886792453,0,0,0,1
"19","05442816M55S",0,1,0,0.664895522689253,0.0699890023883424,8,0,5700,0,0.104295867564052,0,0.116718208782098,0.227337369223465,0,0.261168384879725,0.0790378006872852,0.77319587628866,0.353951890034364,0.0996563573883162,0.47766323024055,0.00281099656357388,1.75,0.528301886792453,0,0,0,1
"20","332819091909",0,0,0,0,12.0100257321261,12,2,8963,0,0.203181852092002,0.795513400110696,0,0.252894613514353,0,0.0544105523495466,0.0140148392415499,0.588623248145095,0.856553998351195,0.0544105523495466,0.0206100577081616,0.00051277823577906,2.77,1.81506849315068,0,1,0,1
"21","03712313DEDE",0,0,0,0,0,6,0,5671,0,0,0.997957787613724,0,0.00367959885936838,0,0.213310580204778,0.0802047781569966,0.469283276450512,0.737201365187713,0.121160409556314,0.0426621160409556,0.000436860068259386,2.26,1.59459459459459,0,1,1,1
"22","1214R62E4840",62.8571428571,1,0,0,0,24,0,4050,0,0,0,0.524099812806282,0.346159620485219,0,0.209850107066381,0.11277658815132,0.500356887937188,0.757316202712348,0.0735189150606709,0.0892219842969308,4.71092077087794e-05,2.41,1.80483592400691,0,1,0,1
"23","0101DEDWDEDE",0,0,0,0,0,15,0,2697,0,0,0.293474527307825,0,0.303041828367657,0,0.0918984280532044,0.303506650544135,0.438935912938331,0.714631197097944,0.0471584038694075,0.120918984280532,0.000412333736396614,2.21,1.37254901960784,0,0,0,1
"24","17202306BDRY",0,0,0,0.0165624753745338,0.571405400421416,10,0,4704,0,0,0.871853617756658,0,0.190732570205277,0,0.0931989924433249,0.0972292191435768,0.550125944584383,0.793954659949622,0.0110831234256927,0.0206549118387909,0.000161209068010076,2.32,1.34992887624467,0,0,0,1
"25","1214EXITR62E",0,1,0,0,0,26,1,4050,0,0,0,0.411719342366686,0.339044645458317,0,0.209850107066381,0.11277658815132,0.500356887937188,0.757316202712348,0.0735189150606709,0.0892219842969308,4.71092077087794e-05,2.41,1.80483592400691,0,0,0,1
